Time,Frequency 09B35150 (Hgr Walikale - Lab),Frequency 64B734C2 (Hgr Walikale - Cabane),Voltage 09B35150 (Hgr Walikale - Lab),Voltage 64B734C2 (Hgr Walikale - Cabane),Generator_ON
1/22/23 16:18,50,50,230,224,FALSE
1/22/23 16:20,50,50,230,224,FALSE
1/22/23 16:22,49.9,50,229,224,FALSE
1/22/23 16:24,50,50,230,224,FALSE
1/22/23 16:26,50,50,230,224,FALSE
1/22/23 16:28,50,50,229,224,FALSE
1/22/23 16:30,50,50,230,224,FALSE
1/22/23 16:32,50,50,230,224,FALSE
1/22/23 16:34,50.1,50,230,225,FALSE
1/22/23 16:36,50,50,230,224,FALSE
1/22/23 16:38,50,50,230,224,FALSE
1/22/23 16:40,50,50,230,224,FALSE
1/22/23 16:42,50,50,230,224,FALSE
1/22/23 16:44,50,50,230,224,FALSE
1/22/23 16:46,50,50,230,224,FALSE
1/22/23 16:48,50,50,230,224,FALSE
1/22/23 16:50,50,50,230,224,FALSE
1/22/23 16:52,50,50,230,224,FALSE
1/22/23 16:54,50,50,230,224,FALSE
1/22/23 16:56,50,50,230,223,FALSE
1/22/23 16:58,50,50,230,225,FALSE
1/22/23 17:00,50,50,230,224,FALSE
1/22/23 17:02,50,50,230,224,FALSE
1/22/23 17:04,50,50,230,224,FALSE
1/22/23 17:06,50,50,230,224,FALSE
1/22/23 17:08,50,50,230,224,FALSE
1/22/23 17:10,50,50,230,223,FALSE
1/22/23 17:12,50.1,50,230,224,FALSE
1/22/23 17:14,50,50,229,224,FALSE
1/22/23 17:16,50,50,229,224,FALSE
1/22/23 17:18,50,50,230,224,FALSE
1/22/23 17:20,50.1,49.9,229,224,FALSE
1/22/23 17:22,50,50,230,225,FALSE
1/22/23 17:24,50,50,228,225,FALSE
1/22/23 17:26,50,50,229,225,FALSE
1/22/23 17:28,50,50,228,225,FALSE
1/22/23 17:30,50,50,228,225,FALSE
1/22/23 17:32,50,50,228,226,FALSE
1/22/23 17:34,50,50.1,229,226,FALSE
1/22/23 17:36,50,50,228,226,FALSE
1/22/23 17:38,50,50,229,224,FALSE
1/22/23 17:40,50,50,228,225,FALSE
1/22/23 17:42,50,50,229,225,FALSE
1/22/23 17:44,50,50,229,225,FALSE
1/22/23 17:46,50,50,229,225,FALSE
1/22/23 17:48,50,50,229,225,FALSE
1/22/23 17:50,50,50.1,230,225,FALSE
1/22/23 17:52,50,50,230,225,FALSE
1/22/23 17:54,50,50,230,225,FALSE
1/22/23 17:56,50,50,230,225,FALSE
1/22/23 17:58,49.9,50,229,226,FALSE
1/22/23 18:00,50,50,229,226,FALSE
1/22/23 18:02,50,50,230,226,FALSE
1/22/23 18:04,50,50,230,226,FALSE
1/22/23 18:06,50,50,230,226,FALSE
1/22/23 18:08,50,50,230,226,FALSE
1/22/23 18:10,50,50,229,226,FALSE
1/22/23 18:12,50,50,230,226,FALSE
1/22/23 18:14,50,50.1,230,226,FALSE
1/22/23 18:16,50,50,230,226,FALSE
1/22/23 18:18,50,50,230,226,FALSE
1/22/23 18:20,50,50,230,226,FALSE
1/22/23 18:22,50,50.1,230,226,FALSE
1/22/23 18:24,50,50,230,226,FALSE
1/22/23 18:26,50,50,229,226,FALSE
1/22/23 18:28,50,50,229,226,FALSE
1/22/23 18:30,49.9,50,230,227,FALSE
1/22/23 18:32,50.1,50,230,227,FALSE
1/22/23 18:34,50,50,230,227,FALSE
1/22/23 18:36,50,50,230,227,FALSE
1/22/23 18:38,50,50,229,226,FALSE
1/22/23 18:40,50,49.9,230,227,FALSE
1/22/23 18:42,50,50,229,227,FALSE
1/22/23 18:44,50,50,229,227,FALSE
1/22/23 18:46,50,50,230,226,FALSE
1/22/23 18:48,50,50.1,229,226,FALSE
1/22/23 18:50,50,50,230,226,FALSE
1/22/23 18:52,50.1,50,229,227,FALSE
1/22/23 18:54,50,50,229,226,FALSE
1/22/23 18:56,50,50,228,227,FALSE
1/22/23 18:58,50,50,228,226,FALSE
1/22/23 19:00,50,50,228,227,FALSE
