"Time","Frequency A27FD0AE (Ch Matanda - Control room)","Frequency E62B2EA3 (Ch Matanda - Radiologie)","Voltage A27FD0AE (Ch Matanda - Control room)","Voltage E62B2EA3 (Ch Matanda - Radiologie)"
2023-01-08 12:12:00,49.9,50.0,220,220
2023-01-08 12:14:00,50.0,49.9,221,221
2023-01-08 12:16:00,49.9,49.9,220,219
2023-01-08 12:18:00,49.6,49.6,221,221
2023-01-08 12:20:00,49.9,49.9,221,221
2023-01-08 12:22:00,49.9,50.0,221,221
2023-01-08 12:24:00,50.1,50.0,220,221
2023-01-08 12:26:00,49.8,49.9,219,220
2023-01-08 12:28:00,49.8,49.8,218,219
2023-01-08 12:30:00,50.0,49.8,221,221
2023-01-08 12:32:00,50.0,50.1,221,221
2023-01-08 12:34:00,50.1,50.1,221,221
2023-01-08 12:36:00,49.8,49.9,221,222
2023-01-08 12:38:00,50.2,50.3,221,221
2023-01-08 12:40:00,50.1,50.2,221,221
2023-01-08 12:42:00,50.0,50.0,221,221
2023-01-08 12:44:00,49.7,49.7,219,220
2023-01-08 12:46:00,49.6,49.7,220,221
2023-01-08 12:48:00,49.8,49.7,221,221
2023-01-08 12:50:00,49.9,49.8,221,221
2023-01-08 12:52:00,49.8,49.8,223,223
2023-01-08 12:54:00,49.8,49.8,222,223
2023-01-08 12:56:00,50.4,50.4,223,222
2023-01-08 12:58:00,50.2,50.1,222,222
2023-01-08 13:00:00,50.0,49.9,222,223
2023-01-08 13:02:00,50.1,50.1,223,223
2023-01-08 13:04:00,50.0,50.1,223,222
2023-01-08 13:06:00,50.1,50.1,223,223
2023-01-08 13:08:00,50.0,50.0,222,222
2023-01-08 13:10:00,50.2,50.1,222,223
2023-01-08 13:12:00,49.9,49.8,221,222
2023-01-08 13:14:00,49.8,49.9,222,223
2023-01-08 13:16:00,50.0,50.0,219,219
2023-01-08 13:18:00,49.9,49.9,220,220
2023-01-08 13:20:00,49.8,49.8,219,218
2023-01-08 13:22:00,49.9,50.0,221,221
2023-01-08 13:24:00,50.0,50.0,219,220
